Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
System and Communications Protection,3.13.5,03.13.05.0,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks. ,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing boundary protection; security plan; list of key internal boundaries of the system; system design documentation; boundary protection hardware and software; system configuration settings and associated documentation; enterprise security architecture documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer; personnel with boundary protection responsibilities]. ,[SELECT FROM: Mechanisms implementing boundary protection capability].
System and Communications Protection,3.13.5[a],03.13.05.a,,publicly accessible system components are identified.,,,
System and Communications Protection,3.13.5[b],03.13.05.b,,subnetworks for publicly accessible system components are physically or logically separated from internal networks. ,,,
System and Communications Protection,3.13.6,03.13.06.0,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing boundary protection; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer; personnel with boundary protection responsibilities]. ,[SELECT FROM: Mechanisms implementing traffic management at managed interfaces].
System and Communications Protection,3.13.6[a],03.13.06.a,,network communications traffic is denied by default.,,,
System and Communications Protection,3.13.6[b],03.13.06.b,,network communications traffic is allowed by exception.,,,
System and Communications Protection,3.13.7,03.13.07.0,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling). ","Determine if remote devices are prevented from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks (i.e., split tunneling).",[SELECT FROM: System and communications protection policy; procedures addressing boundary protection; security plan; system design documentation; system hardware and software; system architecture; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer; personnel with boundary protection responsibilities]. ,[SELECT FROM: Mechanisms implementing boundary protection capability; mechanisms supporting or restricting non-remote connections].
System and Communications Protection,3.13.8,03.13.08.0,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing transmission confidentiality and integrity; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer]. ,[SELECT FROM: Cryptographic mechanisms or mechanisms supporting or implementing transmission confidentiality; organizational processes for defining and implementing alternative physical safeguards].
System and Communications Protection,3.13.8[a],03.13.08.a,,cryptographic mechanisms intended to prevent unauthorized disclosure of CUI are identified.,,,
System and Communications Protection,3.13.8[b],03.13.08.b,,alternative physical safeguards intended to prevent unauthorized disclosure of CUI are identified.,,,
